"","GPA_9","GPA_8","Treatment","STD_math_7","STD_math_8","STD_math_8c"
"1",3.12665955135392,2.89186530241838,0,76.6398786618123,86.4768596690359,26.4768596690359
"2",2.76128824267335,1.06723303553584,0,32.7528448876129,84.7943915499672,24.7943915499672
"3",2.16983868541239,2.45175559871829,1,65.4215324184168,57.9608538510348,-2.03914614896522
"4",1.31031412453599,0.565265702691485,1,18.9979864617875,42.0176393771064,-17.9823606228936
"5",2.81778689666122,2.70905600752601,0,63.5630081934213,68.703813978137,8.70381397813705
"6",1.9231093413866,1.51527962902819,1,40.7868783450807,53.0055894382081,-6.99441056179189
"7",2.70539091579367,0.873864058448393,0,24.1943729019361,79.526497530159,19.526497530159
"8",2.04905198545437,2.29705504095118,0,65.2558029185325,63.6013673103938,3.60136731039382
"9",1.55687269371011,2.98604126940563,1,77.4193784068045,38.0730986857865,-21.9269013142135
"10",2.46490304321009,2.51041244472339,0,66.6613387347103,69.4241231613957,9.4241231613957
"11",1.94330299483137,1.0677259270149,1,19.426326347887,42.9992311171451,-17.0007688828549
"12",3.25139786381124,2.85090823334594,0,75.1711216136707,89.443045935825,29.443045935825
"13",1.45578741929207,2.49526576721617,1,69.1188357897638,41.6944356024406,-18.3055643975594
"14",2.84922385675028,3.05580631162597,0,80.2933749616051,77.937384157223,17.937384157223
"15",3.02484045149619,2.59743982689686,0,70.8009080417075,86.5238747246282,26.5238747246282
"16",2.85520097874792,3.24585450942689,0,84.6628657601992,77.0107451204107,17.0107451204107
"17",2.97598182070434,2.77529274215706,0,71.5812591903476,80.2732373856835,20.2732373856835
"18",3.20949520141501,2.48119922426836,0,58.7414041159654,81.0404366124366,21.0404366124366
"19",1.92049135679781,2.91198162314331,1,73.7147056037487,45.9091055066132,-14.0908944933868
"20",2.55797371870864,2.7052271825997,0,74.816615625899,75.1670278639743,15.1670278639743
"21",3.31465557667975,3.22307388742432,0,84.3843208669689,89.7929903066776,29.7929903066776
"22",2.19743389900424,1.26171535453394,1,30.3853925446085,56.423038841569,-3.57696115843097
"23",2.59680985597682,1.92320328546054,0,53.2635836877958,76.4550837128186,16.4550837128186
"24",2.96167760950615,2.90305739244232,0,76.836661977653,81.9023319185375,21.9023319185375
"25",2.6278714276954,3.18233162883606,0,91.4435277630632,81.017687690867,21.017687690867
"26",3.29862603400803,2.84621887132457,0,73.1924151746644,88.5249080205413,28.5249080205413
"27",2.27835972596653,3.73272459963957,0,98.1616210132688,61.4347331342659,1.43473313426594
"28",2.17248010985302,2.57118749852402,0,70.2320676765004,63.7827193328719,3.78271933287187
"29",2.06004545158712,3.1126648197734,0,88.2662940344441,64.2733260462673,4.2733260462673
"30",2.5874730582025,3.34536510420597,0,90.0112893639318,72.8626793302401,12.8626793302401
"31",2.2735866467111,2.69981677068192,1,70.7039711443671,58.8343565089467,-1.16564349105333
"32",3.36479007402658,2.34098219462974,0,58.8267762852901,89.9398543079354,29.9398543079354
"33",3.16023218354039,2.60668030438075,0,71.2440592321602,90.3868854065956,30.3868854065956
"34",2.87021853362909,3.25387368698676,0,87.6559413525784,80.6951509976292,20.6951509976292
"35",2.91990096784804,2.52941353523626,0,65.6181248886845,79.8041849877138,19.8041849877138
