"","PublicHousing","HealthStatus","Supply","WaitingTime","HealthBehavior","Stamp","ParentsHealthStatus","Age","Race","Education","MaritalStatus","Race_4","Race_3","Race_1","Race_2","MaritalStatus_3","MaritalStatus_2","MaritalStatus_4","MaritalStatus_1"
"1",17.6955675039844,7.37331791525436,4.82408931872886,18.6572501033259,8.7047222462622,182.603434653044,2.61993220842103,45.3141985345008,4,1,3,1,0,0,0,1,0,0,0
"2",38.9543732302856,13.1600565454264,6.1265581581773,34.2181504769539,12.8404508321942,224.367445799857,19.3003646246824,50.3741199849876,4,1,2,1,0,0,0,0,1,0,0
"3",34.8868785002866,11.4284162456634,5.79309323364842,34.7362058053498,10.9341906328499,234.142841788935,11.8249540799561,40.9894704507451,3,1,3,0,1,0,0,1,0,0,0
"4",17.1014991465334,7.0571647297246,6.2654624844124,18.265040171573,8.09526322209248,242.307078498058,7.25602075407352,45.5541437826118,3,1,2,0,1,0,0,0,1,0,0
"5",44.3568865375556,14.6373368050439,4.87344152757801,35.2141932139321,16.327102661173,206.117334779924,11.1559974503813,41.0982348591543,1,1,4,0,0,1,0,0,0,1,0
"6",27.8143621155167,11.2936583866671,4.00822238843186,17.408748602896,15.4426842669444,208.160870396953,5.28664439481231,43.3564191751334,3,1,2,0,1,0,0,0,1,0,0
"7",19.1554393350993,6.71919273493265,7.72187286887496,19.9820147610369,8.67234075680055,194.803770711886,5.18085146702247,36.5696314149034,3,1,1,0,1,0,0,0,0,0,1
"8",36.2121649726191,12.934073294594,4.29762703492232,23.3354675801558,17.7008544193341,215.043207837114,11.409182160117,39.0856643702706,2,2,2,0,0,0,1,0,1,0,0
"9",32.062336416803,11.5559392058359,3.87805415610133,27.8851140632856,12.6847953646191,213.278138885222,14.816609119784,52.1304904860952,3,1,1,0,1,0,0,0,0,0,1
"10",25.4866546200831,9.97553008297892,0.37301429270028,26.1216612980178,11.0852976543181,241.109693733016,5.39429801414513,49.3731321575332,4,3,4,1,0,0,0,0,0,1,0
"11",24.6668226657996,9.98964058025352,5.37348652984739,18.5230604188153,12.249484738735,171.552781960052,5.34335553038854,52.2979508854649,4,3,3,1,0,0,0,1,0,0,0
"12",27.8501195935196,8.90700431501556,5.99103298324151,31.1734226386187,8.35174503643426,233.345915027963,8.00778963466422,46.7833619060308,4,1,1,1,0,0,0,0,0,0,1
"13",34.7974450540578,11.2404476075543,4.7768630047593,30.5192647339131,13.9558408233217,192.271876894814,9.6561822172693,28.9268737050957,2,1,2,0,0,0,1,0,1,0,0
"14",24.2115210507433,8.31427305556217,6.82463818994336,26.4199240804187,8.38047502307901,233.608273427455,8.69812156064166,44.4752832353638,4,3,2,1,0,0,0,0,1,0,0
